City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Acarau,BR,2021-07-17 18:42:24,-2.8856,-40.12,84.43,64,31,15.14
152,Bathsheba,BB,2021-07-17 18:42:24,13.2167,-59.5167,86.61,70,20,16.11
153,Aykhal,RU,2021-07-17 18:42:24,66.0,111.5,54.91,79,62,6.22
154,Rawson,AR,2021-07-17 18:42:25,-43.3002,-65.1023,46.29,61,98,25.77
155,Adrar,MR,2021-07-17 18:42:25,20.5022,-10.0711,103.3,15,31,6.62
156,Broken Hill,AU,2021-07-17 18:42:25,-31.95,141.4333,40.71,93,5,5.75
157,Tabou,CI,2021-07-17 18:42:25,4.423,-7.3528,76.84,80,85,10.94
158,Altamont,US,2021-07-17 18:42:26,42.2068,-121.7372,80.78,33,1,3.0
159,Phalombe,MW,2021-07-17 18:42:26,-15.8064,35.6507,56.77,85,25,5.3
160,Itarema,BR,2021-07-17 18:42:26,-2.9248,-39.9167,83.86,65,15,14.5
161,Bilibino,RU,2021-07-17 18:42:27,68.0546,166.4372,58.84,81,100,6.31
162,Qaanaaq,GL,2021-07-17 18:42:27,77.484,-69.3632,35.83,92,100,4.74
163,Sao Filipe,CV,2021-07-17 18:42:27,14.8961,-24.4956,73.67,83,100,7.61
164,Waddan,LY,2021-07-17 18:42:27,29.1614,16.139,86.56,37,0,23.31
165,Beringovskiy,RU,2021-07-17 18:42:27,63.05,179.3167,50.65,83,100,8.77
166,East London,ZA,2021-07-17 18:42:28,-33.0153,27.9116,54.54,71,0,5.75
167,Wenling,CN,2021-07-17 18:42:28,28.3669,121.36,78.04,89,100,4.59
168,Kahului,US,2021-07-17 18:41:13,20.8947,-156.47,79.97,76,40,16.11
169,Lodja,CD,2021-07-17 18:42:28,-3.4833,23.4333,76.28,34,89,1.16
170,Atuona,PF,2021-07-17 18:42:28,-9.8,-139.0333,78.06,77,23,26.64
171,Honningsvag,NO,2021-07-17 18:42:29,70.9821,25.9704,50.27,85,100,24.25
172,Arraial Do Cabo,BR,2021-07-17 18:42:29,-22.9661,-42.0278,75.16,78,40,11.5
173,Bauchi,NG,2021-07-17 18:42:29,10.5,10.0,72.3,88,66,5.3
174,Lazaro Cardenas,MX,2021-07-17 18:41:31,17.9583,-102.2,86.02,65,100,5.93
175,New Norfolk,AU,2021-07-17 18:42:30,-42.7826,147.0587,49.5,81,100,1.01
176,Ponta Do Sol,PT,2021-07-17 18:42:30,32.6667,-17.1,78.71,75,2,2.08
177,Berlevag,NO,2021-07-17 18:42:30,70.8578,29.0864,52.32,80,66,18.9
178,Maniitsoq,GL,2021-07-17 18:42:30,65.4167,-52.9,47.21,91,93,1.83
179,Souillac,MU,2021-07-17 18:42:31,-20.5167,57.5167,71.98,78,40,14.97
180,Dunedin,NZ,2021-07-17 18:39:14,-45.8742,170.5036,49.8,94,100,10.0
181,Gornopravdinsk,RU,2021-07-17 18:42:31,60.05,69.9,52.56,90,78,3.98
182,Grindavik,IS,2021-07-17 18:42:31,63.8424,-22.4338,49.95,93,90,11.5
183,Denpasar,ID,2021-07-17 18:42:31,-8.65,115.2167,78.46,89,40,4.61
184,Zhigansk,RU,2021-07-17 18:42:32,66.7697,123.3711,44.74,70,100,12.86
185,Ayan,RU,2021-07-17 18:42:32,56.45,138.1667,62.8,63,83,13.0
186,Geraldton,AU,2021-07-17 18:42:32,-28.7667,114.6,52.21,93,5,11.5
187,Klaksvik,FO,2021-07-17 18:42:32,62.2266,-6.589,54.52,89,15,15.75
188,Pochutla,MX,2021-07-17 18:42:33,15.7432,-96.4661,90.82,52,100,6.38
189,Wahiawa,US,2021-07-17 18:42:33,21.5028,-158.0236,79.12,72,20,5.75
190,Pocatello,US,2021-07-17 18:42:33,42.8713,-112.4455,91.47,23,1,5.01
191,Kangaatsiaq,GL,2021-07-17 18:42:33,68.3065,-53.4641,43.88,86,7,5.95
192,Ribeira Grande,PT,2021-07-17 18:42:34,38.5167,-28.7,72.0,73,20,12.66
193,Tyumentsevo,RU,2021-07-17 18:42:34,53.3224,81.498,58.87,80,100,8.39
194,Constitucion,CL,2021-07-17 18:42:34,-35.3333,-72.4167,55.02,46,0,14.23
195,Tucuman,AR,2021-07-17 18:42:34,-26.8241,-65.2226,60.8,29,92,5.75
196,Tiznit,MA,2021-07-17 18:42:35,29.5833,-9.5,95.32,21,31,2.62
197,Apomu,NG,2021-07-17 18:42:35,7.3333,4.1833,72.09,96,100,2.1
198,Nemuro,JP,2021-07-17 18:42:35,43.3236,145.575,59.61,90,100,1.99
199,Minudasht,IR,2021-07-17 18:42:35,37.2289,55.3747,83.77,61,20,11.5
200,Bethel,US,2021-07-17 18:42:36,41.3712,-73.414,90.43,69,75,8.05
201,Kapoeta,SS,2021-07-17 18:42:36,4.7717,33.5903,71.67,88,100,12.82
202,Faanui,PF,2021-07-17 18:42:36,-16.4833,-151.75,79.54,72,3,20.13
203,Flinders,AU,2021-07-17 18:42:36,-34.5833,150.8552,54.05,73,0,18.25
204,Kapaa,US,2021-07-17 18:42:37,22.0752,-159.319,79.12,80,75,4.0
205,Teguldet,RU,2021-07-17 18:42:37,57.3064,88.1667,54.0,98,84,6.15
206,Tual,ID,2021-07-17 18:42:37,-5.6667,132.75,80.08,84,100,18.72
207,Siloam Springs,US,2021-07-17 18:39:48,36.1881,-94.5405,86.76,73,75,3.44
208,Sobolevo,RU,2021-07-17 18:42:38,54.4299,31.8996,72.93,70,83,3.94
209,Kharp,RU,2021-07-17 18:42:38,66.8014,65.8081,49.42,85,6,1.57
