City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
115,Laguna,38.421,-121.4238,106.25,26,1,1.01,US,clear sky
116,Puerto Escondido,15.85,-97.0667,89.42,58,53,7.87,MX,broken clouds
117,Rawson,-43.3002,-65.1023,51.55,34,3,10.89,AR,clear sky
118,Severodvinsk,64.5635,39.8302,44.71,75,100,14.61,RU,light rain
119,Port Alfred,-33.5906,26.891,53.26,66,100,4.12,ZA,light rain
120,Hobyo,5.3505,48.5268,76.93,84,17,30.65,SO,few clouds
121,Broome,42.2506,-75.833,78.55,55,20,3.0,US,few clouds
122,Davidson,36.1501,-86.7833,92.53,50,20,5.01,US,few clouds
123,Ust-Nera,64.5667,143.2,58.93,84,100,2.26,RU,overcast clouds
124,Fairbanks,64.8378,-147.7164,73.22,72,40,1.01,US,light rain
125,Cody,44.5263,-109.0565,88.92,24,1,10.36,US,clear sky
126,Lavrentiya,65.5833,-171.0,48.24,72,89,5.84,RU,overcast clouds
127,Santiago,-33.4569,-70.6483,72.28,35,75,6.91,CL,haze
128,Shellbrook,53.2168,-106.4011,76.23,26,74,23.09,CA,broken clouds
129,Katsuura,35.1333,140.3,81.1,83,0,1.39,JP,clear sky
130,Geraldton,-28.7667,114.6,56.12,93,40,2.3,AU,scattered clouds
131,Rudbar,30.15,62.6,91.51,13,2,3.51,AF,clear sky
132,Cabo San Lucas,22.8909,-109.9124,101.52,65,0,10.2,MX,clear sky
133,Torbay,47.6666,-52.7314,65.28,91,75,8.05,CA,broken clouds
134,Voloshka,61.3314,40.0858,41.58,70,23,5.06,RU,few clouds
135,Avera,33.194,-82.5271,92.75,56,86,4.12,US,overcast clouds
136,Ahipara,-35.1667,173.1667,52.32,83,3,3.15,NZ,clear sky
137,Guliston,40.4897,68.7842,78.01,24,0,6.29,UZ,clear sky
138,Olafsvik,64.8945,-23.7142,52.3,97,100,9.62,IS,overcast clouds
139,Eatonton,33.3268,-83.3885,94.23,55,54,0.4,US,broken clouds
140,Maldonado,-34.6667,-54.9167,69.19,84,26,3.89,UY,scattered clouds
141,San Cristobal,7.7669,-72.225,87.98,71,100,5.66,VE,overcast clouds
142,Sisimiut,66.9395,-53.6735,44.58,80,100,12.59,GL,light rain
143,Sakaiminato,35.55,133.2333,78.78,78,75,3.44,JP,broken clouds
144,Kadaura,25.9833,79.85,89.73,67,100,5.84,IN,overcast clouds
145,Gabu,12.2833,-14.2167,77.49,85,68,6.96,GW,broken clouds
146,Manado,1.487,124.8455,77.77,73,40,5.75,ID,scattered clouds
147,Arraial Do Cabo,-22.9661,-42.0278,71.56,64,0,17.27,BR,clear sky
148,Henties Bay,-22.116,14.2845,59.86,38,0,6.04,NA,clear sky
149,Kilindoni,-7.9139,39.6668,76.77,74,5,19.75,TZ,clear sky
150,Dongsheng,39.8161,109.9776,67.84,74,3,12.66,CN,clear sky
151,Westport,41.1415,-73.3579,84.36,49,75,5.99,US,broken clouds
152,Newala,-10.9431,39.2787,62.24,78,73,3.11,TZ,broken clouds
153,Jacmel,18.2342,-72.5347,96.64,66,42,5.73,HT,scattered clouds
154,San Carlos De Bariloche,-41.1456,-71.3082,49.75,17,0,0.0,AR,clear sky
