City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Wilmington,US,86.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
255,North Bend,US,82.94,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
256,Manggar,ID,81.14,scattered clouds,-2.8833,108.2667,Guest Hotel
257,Palmer,US,81.21,broken clouds,42.1584,-72.3287,Wedgewood Motel
262,Moose Factory,CA,82.4,clear sky,51.2585,-80.6094,Moosonee Lilypad
263,Rawlins,US,82.29,broken clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
264,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
265,Uthal,PK,83.71,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
267,Azare,NG,76.55,overcast clouds,11.6765,10.1948,Muk hostel
270,Shimoda,JP,77.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
274,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
275,Codajas,BR,84.74,overcast clouds,-3.8367,-62.0569,Hotel Tucunaré
280,Goderich,CA,78.21,scattered clouds,43.7501,-81.7165,Harmony Inn
283,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
288,Bubaque,GW,79.61,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
292,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
293,San Quintin,MX,75.79,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
296,Kahului,US,83.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
297,Gat,IL,81.28,scattered clouds,31.61,34.7642,OlusHome
298,Villanueva,HN,90.59,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
301,Borbon,PH,84.09,overcast clouds,10.838,124.0297,Pepe Catubig Res
302,Worland,US,91.54,clear sky,44.0169,-107.9554,Town House Motor Inn
304,Domoni,KM,75.34,clear sky,-12.2569,44.5319,Al Djadid
310,Dhola,IN,83.41,overcast clouds,21.8833,71.7833,નિલેશ
312,Sungairaya,ID,78.15,overcast clouds,0.7,108.9,Mess P.Milu
318,Tual,ID,79.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
324,Umm Lajj,SA,85.84,clear sky,25.0213,37.2685,Moon light Furnished Units
326,Nong Han,TH,77.14,light rain,17.3608,103.1053,หนองหานรีสอร์ท
328,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
331,Abu Samrah,SY,78.6,scattered clouds,35.3029,37.1841,
333,Mogadishu,SO,76.62,few clouds,2.0371,45.3438,Hotel Juba
334,Capitao Poco,BR,77.13,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
336,Itarema,BR,79.11,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
339,Guerrero Negro,MX,83.59,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
341,Juybar,IR,81.63,clear sky,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
343,Borujerd,IR,75.33,clear sky,33.8973,48.7516,Zagros Hotel
344,Aloleng,PH,81.93,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
346,San Pedro,PH,80.15,moderate rain,14.35,121.0167,Villa Veronica Resort Private Pool
349,The Valley,AI,85.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
350,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
351,Santo Tomas,PH,79.38,moderate rain,14.1079,121.1414,Microtel by Wyndham Batangas
353,Yanam,IN,77.04,overcast clouds,16.7333,82.2167,The Regency Hotel
354,Murgab,TM,84.07,clear sky,37.4966,61.9714,
355,Belize,BZ,91.72,overcast clouds,17.25,-88.75,Villa San Juan
357,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
358,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
359,Lamesa,US,97.09,clear sky,32.7376,-101.951,Shiloh Inn Lamesa
363,Najran,SA,77.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
364,Panama City,PA,85.95,thunderstorm,8.9936,-79.5197,Hotel Riande Granada Urban
366,Carutapera,BR,76.69,few clouds,-1.195,-46.02,Lidera
369,Thap Than,TH,79.34,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
370,Nuevo Progreso,MX,93.6,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
372,Hilo,US,90.28,haze,19.7297,-155.09,Hilo Hawaiian Hotel
378,Pacific Grove,US,82.42,clear sky,36.6177,-121.9166,Lovers Point Inn
383,Jacqueville,CI,78.71,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
386,Jalu,LY,81.77,clear sky,29.0331,21.5482,صاحبة الفخامة
387,El Vigia,VE,93.31,broken clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
388,Mitsamiouli,KM,77.43,scattered clouds,-11.3847,43.2844,Foyer ADM
